numero_pedido,cod_cliente,cnpj,nome_cliente,grupo_cliente,regiao,endereco_completo,qtde_itens,peso_itens,latitude,longitude,janela_descarga,anomalia
3738443,182603,61274247000190,MAZZAFERRO IND. COM. PROD. PESCA S/A,Nenhum,0,"Avenida FUNDIBEM, S/N, Jardim Casa Grande, Diadema, São Paulo",6,120.0,-23.7035411,-46.5949433,30,0
3739121,204268,15724330000105,BOMGOSTO ALIMENTAÇÃO LTDA,Nenhum,0,"Rua JAGUARIUNA, 644, DISTR.INDUSTRIAL, Holambra, São Paulo",16,320.0,-22.63306,-47.05556,30,0
3739262,11618,61233151001156,COVABRA SUPERMERCADOS LTDA.,Covabra,0,"Avenida PIO XII, 900, Jardim Porto Alegre, Capivari, São Paulo",19,370.0,-22.995,-47.50778,30,0
3739349,195797,61233151003108,COVABRA SUPERMERCADOS LTDA,Covabra,0,"Rua RUA JUNDIAI, 380, JARDIM PRIMAVERA, Itupeva, São Paulo",33,640.0,-23.1548565,-47.0544653,30,0
3739439,213532,19073771000307,COMERCIALW COM.PRODUTOS PARA RESTAURANTE,Nenhum,0,"Rua PEROLA, 350, JARDIM SANTA ESMERALDA, Hortolândia, São Paulo",210,2026.5,-22.9081539,-47.194098,30,0
3740014,208053,49517627000103,RESTAURANTE LUI E VENTURINE LTDA,Nenhum,0,"Rua MARCIA PIERRONI, 78, ITU NOVO CENTRO, Itu, São Paulo",3,60.0,-23.26417,-47.29917,30,0
3740015,192727,11114172000102,VENTURINE & LUI LTDA - EPP,Nenhum,0,"Rua CRISTOVAO DINIZ, 599, JARDIM DO ESTADIO, Itu, São Paulo",3,60.0,-23.2825872,-47.2874574,30,0
3740016,205634,5897385000155,RODRIGUES & CAMPOS PIZZARIA LTDA,Nenhum,0,"Rua JOAO LEITE, 39, Centro, Boituva, São Paulo",5,100.0,-23.2858028,-47.6746236,30,0
3740119,209833,71676316001975,SUPERMERCADOS MAMBO LTDA.,Mambo,0,"Alameda RIO NEGRO, 1456, Alphaville Industrial, Barueri, São Paulo",16,320.0,-23.51056,-46.87611,30,0
3740169,209744,49120337000121,49.120.337 ROSELAINE BARBOSA CARACA,Nenhum,0,"Avenida ATALAIA DO NORTE, 527, JARDIM CUMBICA (JARDIM PRESIDE, Guarulhos, São Paulo",3,60.0,-23.4532507,-46.4388941,30,0
3740178,214961,57174248000196,FAZENDA CAMPINEIRA RESTAURANTE LTDA,Divino Fogão,0,"Avenida IGUATEMI, 777, Vila Brandina, Campinas, São Paulo",4,80.0,-22.8924024,-47.0272094,30,0
3740194,200751,4059651000108,CENTER CARNES SELECT LTDA,Nenhum,0,"Rua SANTA BERNADETE, 344, Canhema, Diadema, São Paulo",27,520.0,-23.6728106,-46.6037944,30,0
3740196,13733,45543915008247,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,0,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi, São Paulo",35,700.0,-23.54889,-46.93417,30,0
3740197,194202,10900904000127,SALT PIE IND.COM.PROD.ALIM. LTDA,Nenhum,0,"Rua UM, 510, PARQUE DO HORTO, Hortolândia, São Paulo",12,240.0,-22.8535255,-47.1982364,30,0
3740198,13733,45543915008247,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,0,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi, São Paulo",250,5000.0,-23.54889,-46.93417,30,0
3740203,13733,45543915008247,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,0,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi, São Paulo",360,7200.0,-23.54889,-46.93417,30,0
3740204,13733,45543915008247,CARREFOUR COMERCIO E INDUSTRIA LTDA,Carrefour,0,"Rodovia PRESIDENTE CASTELO BRANCO KM 33, SN, Itaqui, Itapevi, São Paulo",67,1005.0,-23.54889,-46.93417,30,0
3740214,204885,28021619000363,MIX VALI COM. DE PRODUTOS ALIMENTICIOS L,ASP,0,"Rua IOLANDA LATORRE CASCALDI, 40, LOTEAMENTO PARQUE DOS CANARIOS, Itatiba, São Paulo",27,540.0,-23.00583,-46.83889,30,0
3740215,211173,50381074000193,ACOUGUE CEARA CORTES LTDA,Nenhum,0,"Rua DOUTOR EUGENIO DA FONSECA, 383, JARDIM AEROPORTO I, Itu, São Paulo",4,80.0,-23.26417,-47.29917,30,0
3740219,7702,52912854000148,CASA DE CARNES DO NELO LTDA,Nenhum,0,"Rua A ESQUINA COM ALAMEDA ALICE, 127, Jardim Convenção, Itu, São Paulo",22,432.0,-23.26417,-47.29917,30,0
3740225,194142,53794749000114,NOVA PARATI PÃES E DOCES LTDA - ME,Nenhum,0,"Avenida EID MANSUR, 18, Parque São George, Cotia, São Paulo",3,60.0,-23.5959976,-46.8511558,30,0
3740228,191873,22938855000109,RESTAURANTE E PIZZARIA MENINOS LTDA,Nenhum,0,"Praça DA INDEPENDENCIA, 218, Centro, Itu, São Paulo",3,60.0,-23.2657218,-47.2983342,30,0
3740232,13376,7626424000105,VIEIRA E LARA SUPERMERCADO LTDA,Nenhum,0,"Avenida CAPITÃO JULIO FRANCO, 390, Rocio, Iguape, São Paulo",12,235.0,-24.70806,-47.55528,30,0
3740236,210137,66888595000503,SUPERMERCADO SERVIDAO LTDA,Rede Servidão,0,"Rua JOSE DO CARMO LEITE, 104, Centro, Caieiras, São Paulo",3,60.0,-23.36417,-46.74056,30,0
3740239,4822,61721734000154,JOSÉ RODRIGUES MERCERIA ME,Nenhum,0,"Avenida FERNANDO COSTA, 2143, Parafuso, Cajati, São Paulo",8,160.0,-24.7297701,-48.135602,30,0
3740240,211870,39324707000199,SUELY MARTINS DE OLIVEIRA LTDA,Nenhum,0,"Rua INDIARA, 375, JD.ANA MARIA, Cajati, São Paulo",15,300.0,-24.7404227,-48.121226,30,0
3740250,214377,8944502000697,EXAMINE SUPERMERCADOS LTDA,Examine,0,"Rodovia CONSTANTE PERUCHI, 677, BAIRRO DO CASCALHO, Cordeirópolis, São Paulo",6,110.0,-22.48194,-47.45667,30,0
3740257,210071,51578571000149,SUPER CM COMPRE MAIS SUPERMERCADO LTDA,Nenhum,0,"Avenida VEREADOR JOSE DONATO, 1385, Vilarejo, Cabreúva, São Paulo",10,200.0,-23.275325,-47.0495177,30,0
3740259,201022,3951495000122,MERCADO PONTO X ITANHAEM EIRELI,Nenhum,0,"Avenida GONCALO MONTEIRO, 625, CIBRATEL II, Itanhaém, São Paulo",6,115.0,-24.2026378,-46.835336,30,0
3740265,213331,54803962000108,RESTAURANTE DO QUEIJEIRO 4 LTDA,Nenhum,0,"Rodovia FERNAO DIAS KM 41,50, S/N, JARDIM DO ALVINOPOLIS, Atibaia, São Paulo",12,230.0,-23.11694,-46.55028,30,0
3740268,207276,48464281000160,CRISPYBOX LTDA,Nenhum,0,"Rua BRASIL, 171, Atibaia Jardim, Atibaia, São Paulo",6,120.0,-23.1270049,-46.557701,30,0
3740285,14415,5910352000106,F.A.B PÃES & DOCES 39 LTDA ME,Nenhum,0,"Avenida IVO MARIO ISAAC PIRES, 10/1,  Das Pedras, Cotia, São Paulo",3,60.0,-23.6277066,-46.9854168,30,0
3740291,10855,73053498000124,ERENITO COMERCIO DE PASTEL LTDA,Nenhum,0,"Rua CANA VERDE, 110, JARDIM SILVESTRE, Itaquaquecetuba, São Paulo",3,60.0,-23.48611,-46.34833,30,0
3740300,190371,2022595000101,RIO DAS PEDRAS COM. DE HORTIFRUTIGRANJEI,Nenhum,0,"Rua DOUTOR ALBERTO GALLO, 226, CIDADE UNIVERSITARIA II, Campinas, São Paulo",5,100.0,-22.90556,-47.06083,30,0
3740329,177692,5110816000191,CARLOS EDUARDO KIRSTEN SANCHES - ME,Nenhum,0,"Rua JOAO MARIANO FERREIRA, 164, Centro, Itanhaém, São Paulo",16,320.0,-24.18306,-46.78889,30,0
3740330,177692,5110816000191,CARLOS EDUARDO KIRSTEN SANCHES - ME,Nenhum,0,"Rua JOAO MARIANO FERREIRA, 164, Centro, Itanhaém, São Paulo",1,20.0,-24.18306,-46.78889,30,0
3740331,6708,859326000179,G.M.OMINE QUITANDÃO LTDA -  EPP,Nenhum,0,"Rua BANDEIRANTES, 605, João B.Julião, Guarujá, São Paulo",10,200.0,-23.9830219,-46.2060406,30,0
3740337,209311,11813940000116,GIRASSOL SERVICOS DE ALIMENTACAO LTDA,Nenhum,0,"Estrada GOVERNO, DO, s/n, Pouso Alegre, Franco da Rocha, São Paulo",25,500.0,-23.3344663,-46.7254136,30,0
3740342,12438,5690736000152,ANGELA EMICO HONDA MERCEARIA ME,Nenhum,0,"Rua Major Murzilho, 96, Centro, Bom Jesus dos Perdões, São Paulo",14,280.0,-23.135,-46.46528,30,0
3740348,194998,14223367000189,SUPERMERCADO PETEKO LTDA,Nenhum,0,"Estrada MUNICIPAL DO CAPUTERA, 333, RESSACA, Cotia, São Paulo",5,100.0,-23.60389,-46.91917,30,0
3740350,202109,21138006000108,R.M MUNIZ E CARNEIRO CARNES LTDA,Nenhum,0,"Rua CHILE, 250, Jd.Cardoso de Freitas, Cajati, São Paulo",31,620.0,-24.7204053,-48.0979843,30,0
3740357,197502,32162092000100,BG NORTE ALIMENTOS LTDA,Nenhum,0,"Rodovia AYRTON SENNA DA SILVA, SN, JARDIM MARIA ELIZA, Itaquaquecetuba, São Paulo",7,140.0,-23.48611,-46.34833,30,0
3740359,204079,43290707000192,CGF CALIMERIO GARCIA FILHO LTDA,Nenhum,0,"Rua ANTONIO FURQUIM, 220, JACARE, Cabreúva, São Paulo",3,60.0,-23.2460826,-47.0575519,30,0
3740368,203961,6335956000120,MERCADO SANTA ELIZA LTDA,Nenhum,0,"Rodovia MARIO TONOLI, 177, EST.HIDRO MINERAL SANTA ELIZA, Itupeva, São Paulo",7,140.0,-23.15306,-47.05778,30,0
3740373,199483,21010503000975,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,0,"Avenida MARTINS FONTES, 1101, Vila Nova, Cubatão, São Paulo",3,60.0,-23.895,-46.42528,30,0
3740375,199485,21010503001009,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,0,"Rua DOS FUNDADORES, 463, PRAIA DO SONHO, Itanhaém, São Paulo",3,60.0,-24.18306,-46.78889,30,0
3740382,12118,66609546000152,SUPERMERCADO TAKAGI LTDA ME.,Nenhum,0,"Avenida Independencia, 1136, Rocio, Cananéia, São Paulo",7,130.0,-25.0069457,-47.9313292,30,0
3740389,199507,21010503001785,CENTRO DE DISTRBUIÇÃO REDE KRILL LTDA,Krill,0,"Avenida APROVADA 294, 775, Boraceia, Bertioga, São Paulo",3,60.0,-23.85444,-46.13861,30,0
3740390,199508,21010503001866,CENTRO DE DISTRIBUIÇÃO REDE KRILL LTDA,Krill,0,"Avenida JOAQUIM JORGE PERALTA, 166, PARQUE SAO LUIS, Cubatão, São Paulo",3,60.0,-23.895,-46.42528,30,0
3740391,199510,21010503001947,CENTRO DE DISTRIBUIÇÃO REDE KRILL LTDA,Krill,0,"Avenida DOS CAICARAS, 1682, Jardim Las Palmas, Guarujá, São Paulo",3,60.0,-23.9999291,-46.273905,30,0
3740393,199511,21010503001432,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,0,"Avenida ANCHIETA, 2300, ALBATROZ, Bertioga, São Paulo",3,60.0,-23.8376018,-46.1298621,30,0
3740394,190014,9116528000103,MINI MERCADO IBIRAPUERA EIRELI ME,Nenhum,0,"Rua Ibirapuera, 20, Parque Jurema, Guarulhos, São Paulo",3,60.0,-23.4465622,-46.4110879,30,0
3740396,194917,1129624000176,CASA DE CARNES IRMÃOS RUSCONI LTDA,Nenhum,0,"Rua AMARO J ANDRADE, 428, JD.MARIA PAULINA, Boituva, São Paulo",14,270.0,-23.28333,-47.67222,30,0
3740397,194851,12038869000104,C.ANALIA SUPERMERCADO LTDA,Nenhum,0,"Rua ALAGOINHA, 998, Jardim Mutinga, Barueri, São Paulo",12,240.0,-23.5055776,-46.8092969,30,0
3740399,3837,62590641000109,L.E. COMERCIO DE CARNES LTDA - ME,Nenhum,0,"Avenida CACHOEIRA, 125, Vl. Pindorama, Barueri, São Paulo",15,300.0,-23.4903445,-46.8786169,30,0
3740437,215104,59007557000105,AMIGO CHURRASQUEIRO COMERCIO DE CARNES L,Nenhum,0,"Rua MARECHAL DEODORO DA FONSECA, 240, Centro, Cabreúva, São Paulo",5,90.0,-23.3069129,-47.1334429,30,0
3740438,214904,58539253000118,58.539.253 NATIANO ROCHA SILVA,Nenhum,0,"Rua SAO LUCAS EVANGELISTA, 236, JARDIM CIBELE, Carapicuíba, São Paulo",5,100.0,-23.52272,-46.835,30,0
3740444,194177,27461192000190,CASA CARNES MENDES E GONÇALVES LTDA - ME,Nenhum,0,"Avenida PASCHOAL SANTI, 957, Vilarejo, Cabreúva, São Paulo",11,207.0,-23.2755188,-47.0599521,30,0
3740455,199483,21010503000975,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,0,"Avenida MARTINS FONTES, 1101, Vila Nova, Cubatão, São Paulo",25,500.0,-23.895,-46.42528,30,0
3740456,199509,21010503001351,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,0,"Avenida SANTOS DUMONT, 1503, SITIO PAECARA (VICENTE DE CARV, Guarujá, São Paulo",8,160.0,-23.9540438,-46.2912372,30,0
3740457,199511,21010503001432,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,0,"Avenida ANCHIETA, 2300, ALBATROZ, Bertioga, São Paulo",8,160.0,-23.8376018,-46.1298621,30,0
3740463,199507,21010503001785,CENTRO DE DISTRBUIÇÃO REDE KRILL LTDA,Krill,0,"Avenida APROVADA 294, 775, Boraceia, Bertioga, São Paulo",25,500.0,-23.85444,-46.13861,30,0
3740464,199508,21010503001866,CENTRO DE DISTRIBUIÇÃO REDE KRILL LTDA,Krill,0,"Avenida JOAQUIM JORGE PERALTA, 166, PARQUE SAO LUIS, Cubatão, São Paulo",15,300.0,-23.895,-46.42528,30,0
3740465,199510,21010503001947,CENTRO DE DISTRIBUIÇÃO REDE KRILL LTDA,Krill,0,"Avenida DOS CAICARAS, 1682, Jardim Las Palmas, Guarujá, São Paulo",10,200.0,-23.9999291,-46.273905,30,0
3740468,192324,7732866000136,ANTONELLI SUPERMERCADO LTDA,Antonelli,0,"Rua SOLDADO CONSTITUCIONALISTA, 54, Jardim Soares, Itapira, São Paulo",12,264.0,-22.43611,-46.82167,30,0
3740474,199002,62220637000140,CENTRO ESP. NOSSO LAR C. ANDRÉ LUIZ,Nenhum,0,"Avenida ANDRE LUIS, 723, PICANCO, Guarulhos, São Paulo",8,160.0,-23.4390401,-46.5454237,30,0
3740482,209096,43391097000113,F DOS SANTOS FREIRE,Nenhum,0,"Avenida TANCREDO NEVES, 1041, Cachoeira, Guarujá, São Paulo",12,240.0,-23.99306,-46.25639,30,0
3740483,200044,53343661000186,CASA CARNES NATAN LTDA,Nenhum,0,"Rua NICARAGUA, 307, N EUROPA, Campinas, São Paulo",8,155.0,-22.932135,-47.0672406,30,0
3740486,197521,31908033000168,BG LESTE ALIMENTOS LTDA,Nenhum,-1,"Rodovia AYRTON SENNA DA SILVA, SN, VILA ANNY, Guarulhos, São Paulo",11,220.0,,,30,0
3740490,214253,13759045000609,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,0,"Rua CONSTANCIO COLALILO, 630, Vila Augusta, Guarulhos, São Paulo",6,110.0,-23.4830163,-46.5375843,30,0
3740491,190081,13759045000358,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,0,"Avenida SALGADO FILHO, 1536, Centro, Guarulhos, São Paulo",2,40.0,-23.4644593,-46.5303663,30,0
3740492,190081,13759045000358,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,0,"Avenida SALGADO FILHO, 1536, Centro, Guarulhos, São Paulo",5,100.0,-23.4644593,-46.5303663,30,0
3740493,190081,13759045000358,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,0,"Avenida SALGADO FILHO, 1536, Centro, Guarulhos, São Paulo",3,55.0,-23.4644593,-46.5303663,30,0
3740506,12194,5218394000172,INTEGRAL ALIMENTAÇÃO COM.E SERVIÇOS LTDA,Nenhum,0,"Estrada FERNANDO NOBRE, 283/487, PARQUE RINCAO, Cotia, São Paulo",1,20.0,-23.60389,-46.91917,30,0
3740512,191282,17114475000101,L.F.DUARTE & CIA LTDA - ME,Nenhum,0,"Rua HAMLETO MENQUINI, 41, PARQUE RES.POTIGUARA, Itu, São Paulo",12,240.0,-23.26417,-47.29917,30,0
3740516,12194,5218394000172,INTEGRAL ALIMENTAÇÃO COM.E SERVIÇOS LTDA,Nenhum,0,"Rua LUIS VAZ DE CAMOES, 177, Cumbica, Guarulhos, São Paulo",1,20.0,-23.46667,-46.46667,30,0
3740518,13759,6342246000128,IRENE LUCIA PEREIRA,Nenhum,0,"Rua JOAO FELIZARDO, 477, Vila Antunes, Cajati, São Paulo",8,160.0,-24.7323312,-48.1103442,30,0
3740519,9522,4306951000144,JORGE NILSON SCHEMER ME,Nenhum,0,"Rua Andradina, 178, Cidade Nova I, Itu, São Paulo",6,120.0,-23.26417,-47.29917,30,0
3740521,187998,11971667000158,J.J.S COMERCIAL DE ALIMENTOS LTDA-ME,Nenhum,0,"Avenida MAJOR ANTONIO DA SILVEIRA CAMARGO, 148, Centro, Cabreúva, São Paulo",6,100.0,-23.3054129,-47.133016,30,0
3740523,205561,17322763000313,MERCADO UNIAO DE ITUPEVA LTDA,Nenhum,0,"Rua ALEXANDRINA MATHIAS DE OLIVEIRA, 77, PARQUE DAS HORTENSIAS, Itupeva, São Paulo",10,185.0,-23.15306,-47.05778,30,0
3740526,12194,5218394000172,INTEGRAL ALIMENTAÇÃO COM.E SERVIÇOS LTDA,Nenhum,0,"Avenida VASCO MASSAFELI, 1010, JARDIM MARIA TEREZA, Cotia, São Paulo",3,60.0,-23.60389,-46.91917,30,0
3740531,12038,63960004945,WAL MART DO BRASIL LTDA,Sam`s,0,"Rodovia REGIS BITENCOURT KM 293,5, S/N, POTUPEVA, Itapecerica da Serra, São Paulo",74,1460.0,-23.71694,-46.84917,30,0
3740533,210855,39456953000102,LANCHONETE OKAJIMA LTDA,Nenhum,0,"Rua COAPA, 109, JARDIM LEONOR, Cotia, São Paulo",10,200.0,-23.6100554,-46.9326524,30,0
3740537,203447,46112942000162,R.S.BUENO & CIA LTDA,Nenhum,0,"Avenida WENCESLAU BRAZ, 640, VILA POPULAR, Itapetininga, São Paulo",14,280.0,-23.563419,-48.0152876,30,0
3740538,203393,46112942000243,R S BUENO & CIA LTDA,Nenhum,0,"Rua ARY DE ALMEIDA, 71, CAMBUI, Itapetininga, São Paulo",11,210.0,-23.59167,-48.05306,30,0
3740544,204962,45578450000102,CENTER CARNES QUALITY LTDA,Nenhum,0,"Avenida DONA GERTRUDES, 1127, ALVINOPOLIS, Atibaia, São Paulo",4,80.0,-23.1244356,-46.5647979,30,0
3740545,194237,2702956000160,SUPERMERCADO PERNAMBUCO LTDA,Nenhum,0,"Rua PROFESSOR TOLEDO, 194, Centro, Araçoiaba da Serra, São Paulo",16,310.0,-23.5050525,-47.6182181,30,0
3740552,196663,17322763000232,MERCADO UNIÃO DE ITUPEVA LTDA,Nenhum,0,"Rua ALFREDO CARLOS SAO JOSE, 47, JD EUROPA, Itupeva, São Paulo",9,180.0,-23.15306,-47.05778,30,0
3740553,161901,5422192000148,SUPERMERCADO CENTRAL CAJAMAR LTDA,Nenhum,0,"Praça BENEDITO MARTINS DA CRUZ, 20, Centro, Cajamar, São Paulo",7,140.0,-23.35611,-46.87694,30,0
3740554,3062,54313374000196,SUPERMERCADO MAGNATA LTDA.,Nenhum,0,"Rua Minas Gerais, 300, Vila Boa Vista, Barueri, São Paulo",11,215.0,-23.5011283,-46.8754334,30,0
3740562,192266,17178798000169,MERC.E AÇOUGUE SOBERANO LTDA,Nenhum,0,"Avenida VINICIUS DE MORAES, 143, VILA SAO PAULO, Ferraz de Vasconcelos, São Paulo",6,120.0,-23.5578807,-46.3669865,30,0
3740565,218,67393207000144,CASA DE CARNES NOVA SUBLIME LTDA - ME,Nenhum,0,"Avenida JOAO PAULO ABLAS, 45, Jardim da Glória, Cotia, São Paulo",11,220.0,-23.5977232,-46.8415226,30,0
3740573,213091,17322763000585,MERCADO UNIAO DE ITUPEVA LTDA,Nenhum,0,"Rua SANTA CLARA, 175, Residencial Santo Antonio, Itupeva, São Paulo",4,80.0,-23.1624922,-47.0454896,30,0
3740574,181657,13759045000196,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,0,"Avenida ONZE DE AGOSTO, 256, Jd. Zaira, Guarulhos, São Paulo",8,155.0,-23.4644112,-46.5364085,30,0
3740581,189096,17016832000107,AMERICAN STEAK LTDA,Nenhum,0,"Rua ANTONIO JOAQUIM LEME, 02, Vila Prudente de Moraes, Itu, São Paulo",8,150.0,-23.285001,-47.2893848,30,0
3740582,200602,7751737000195,GIPA COZINHA INDUSTRIAL LTDA,Nenhum,0,"Rua PREFEITO JOSE CARLOS, 962, JD SANTA JULIA, Itupeva, São Paulo",3,60.0,-23.1553979,-47.046005,30,0
